SurveyColNames	SimplifiedColNames	VariableFormat	Description
Timestamp	Timestamp	double	Date and time of survey response submission
How would you describe your current usage of the AnVIL platform?	CurrentUsageDescription	character	"Possible answers include For completed/long-term projects (e.g., occasional updates/maintenance as needed), For ongoing projects (e.g., consistent project development and/or work), For short-term projects (e.g., short, intense bursts separated by a few months). These responses are considered returning AnVIL users. Other possible responses represent potential AnVIL users. These include I do no currently use the AnVIL, but have in the past, I have never heard of the AnVIL, I have never used the AnVIL, but have heard of it."
Rank the following features or resources according to their importance to you as a potential user of the AnVIL? [Easy billing setup]	PotentialRankEasyBillingSetup	list	"This question was only given to potential AnVIL users. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance to you as a potential user of the AnVIL? [Flat-rate billing rather than use-based]	PotentialRankFlatRateBilling	list	"This question was only given to potential AnVIL users. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance to you as a potential user of the AnVIL? [Free version with limited compute or storage]	PotentialRankFreeVersion	list	"This question was only given to potential AnVIL users. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance to you as a potential user of the AnVIL? [On demand support and documentation]	PotentialRankSupportDocs	list	"This question was only given to potential AnVIL users. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance to you as a potential user of the AnVIL? [Specific tools or datasets are available/supported]	PotentialRankToolsData	list	"This question was only given to potential AnVIL users. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance to you as a potential user of the AnVIL? [Greater adoption of the AnVIL by the scientific community]	PotentialRankCommunityAdoption	list	"This question was only given to potential AnVIL users. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
How long have you been using the AnVIL?	LengthOfUse	character	"This question was only given to returning AnVIL users. Possible responses include < 1 yr, 1-2 yrs, 2-3 yrs, 4+ yrs, or NA. NA applies to survey responses where this questions wasn't asked"
Rank the following features or resources according to their importance for your continued use of the AnVIL [Easy billing and workgroup management]	ReturningRankEasyBillingSetup	list	"This question was only given to returning AnVIL users. It relates to the potential ranking one from PotentialRankEasyBillingSetup. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance for your continued use of the AnVIL [Flat-rate billing rather than use-based]	ReturningRankFlatRateBilling	list	"This question was only given to returning AnVIL users. It relates to the potential ranking one from PotentialRankFlatRateBilling. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance for your continued use of the AnVIL [Free version with limited compute or storage]	ReturningRankFreeVersion	list	"This question was only given to returning AnVIL users. It relates to the potential ranking one from PotentialRankFreeVersion. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance for your continued use of the AnVIL [On demand support and documentation]	ReturningRankSupportDocs	list	"This question was only given to returning AnVIL users. It relates to the potential ranking one from PotentialRankSupportDocs. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance for your continued use of the AnVIL [Specific tools or datasets are available/supported]	ReturningRankToolsData	list	"This question was only given to returning AnVIL users. It relates to the potential ranking one from PotentialRankToolsData. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following features or resources according to their importance for your continued use of the AnVIL [Greater adoption of the AnVIL by the scientific community]	ReturningRankCommunityAdoption	list	"This question was only given to returning AnVIL users. It relates to the potential ranking one from PotentialRankCommunityAdoption. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these technologies (on the AnVIL)? [Jupyter Notebooks]	ReturningAnVILTechJupyterNotebooks	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these technologies (on the AnVIL)? [Bioconductor & RStudio]	ReturningAnVILTechBioconductorRStudio	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these technologies (on the AnVIL)? [Galaxy]	ReturningAnVILTechGalaxy	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these technologies (on the AnVIL)? [WDL Workflows]	ReturningAnVILTechWDL	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these technologies (on the AnVIL)? [Containers]	ReturningAnVILTechContainers	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these technologies (on the AnVIL)? [Unix / Command Line]	ReturningAnVILTechCommandLine	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
"How would you rate your knowledge of or comfort with these AnVIL data features? [Accessing controlled access datasets (e.g., GTEx, CCDG)]"	ReturningAnVILTechAccessData	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these AnVIL data features? [DUOS (Data Use Oversight System)]	ReturningAnVILTechDUOS	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these AnVIL data features? [Terra on AnVIL (Workspaces)]	ReturningAnVILTechTerra	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
How would you rate your knowledge of or comfort with these AnVIL data features? [TDR (Terra Data Repository)]	ReturningAnVILTechTDR	character	"This question was only given to returning AnVIL users asking about their comfort with certain AnVIL tech. Possible answers were Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable, or NA. NA applies to survey responses where this question wasn't asked"
